id,nome,cnpj,inscricao_estadual,email,telefone,endereco,cidade,estado,cep,responsavel_nome,responsavel_cpf,responsavel_cargo,responsavel_email,responsavel_celular,cartao_cnpj_path,contrato_social_path,doc_identificacao_path,status,motivo_rejeicao,observacoes_reanalise,ativa,criado_em,atualizado_em,aprovado_em,aprovado_por_cpf,numero_funcionarios_estimado,data_primeiro_pagamento,contrato_aceito,tipo,cartao_cnpj_arquivo_remoto_provider,cartao_cnpj_arquivo_remoto_bucket,cartao_cnpj_arquivo_remoto_key,cartao_cnpj_arquivo_remoto_url,contrato_social_arquivo_remoto_provider,contrato_social_arquivo_remoto_bucket,contrato_social_arquivo_remoto_key,contrato_social_arquivo_remoto_url,doc_identificacao_arquivo_remoto_provider,doc_identificacao_arquivo_remoto_bucket,doc_identificacao_arquivo_remoto_key,doc_identificacao_arquivo_remoto_url
104,RLJ COMERCIAL EXPORTADORA LTDA,09110380000191,,ewrwer@fafa.com,(45) 64897-9888,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,tani akk,04703084945,,4dffadf@dsfdf.com,(45) 64487-9889,,,,pendente,,,t,2026-02-10 04:21:11.359503,2026-02-10 04:21:11.359503,,,,,f,clinica,,,,,,,,,,,,
107,Clinica Final Test,97841843000152,,clinfintest@sdfsdf.com,(45) 46556-4654,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Gestor Clin Final test,64411953056,,gesges@dsgds.com,(45) 46546-5456,,,,pendente,,,t,2026-02-11 01:47:49.407701,2026-02-11 01:47:49.407701,,,,,f,clinica,,,,,,,,,,,,
108,teste Gabriela e Arthur Adega Ltda,27706384000119,,posvenda@gabrielaearthuradegaltda.com.br,(41) 99540-1309,"Bar├úo do Serro Azul, 198 - Centro",3946,PR,80020-180,TESTE,87748070997,,DFKGHDFJKHG@GMAIL.COM,(67) 98411-1846,,,,pendente,,,t,2026-02-12 12:10:50.155945,2026-02-12 12:10:50.155945,,,,,f,clinica,,,,,,,,,,,,
109,Pos Correc Dep 1202,26698929000120,,ffaaf@afsa.coj,(45) 46546-5465,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,amdna Nexus,03178539026,,fafa@safsf.com,(66) 46546-5465,,,,pendente,,,t,2026-02-12 18:00:29.646875,2026-02-12 18:00:29.646875,,,,,f,clinica,,,,,,,,,,,,
111,Clinica Final,79831824000163,,ckicniafinal@fddf.com,(97) 89798-9899,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,Tania Krina,58455720026,,gercli@dffd.com,(65) 46545-6465,,,,pendente,,,t,2026-02-13 02:49:52.706347,2026-02-13 02:49:52.706347,,,,,f,clinica,,,,,,,,,,,,
112,TESTE 16.02,41677495000175,,ADFJGHJDKFHSG@GMAIL.COM,(16) 02684-06840,"Bar├úo do Serro Azul, 198 - Centro",3946,PR,80020-180,TESTE 16.02,70873742060,,DFHJKGHJDFJH@GMAIL.COM,(40) 86046-0468,,,,pendente,,,t,2026-02-16 14:26:34.960724,2026-02-16 14:26:34.960724,,,,,f,clinica,,,,,,,,,,,,
113,Clinex MedOCup,04228123000135,,saff@affas.com,(65) 46665-4654,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Amanda Clinex,62985815029,,fdfds@aas.com,(44) 54646-5466,,,,pendente,,,t,2026-02-16 18:25:14.814272,2026-02-16 18:25:14.814272,,,,,f,clinica,,,,,,,,,,,,
115,Clinica End,60772535000102,,fasasf@fafa.com,(48) 97987-9879,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,Aagpo pdaiopi,31777317053,,ffdfsd@kokol.com,(48) 79844-6466,,,,pendente,,,t,2026-02-17 16:13:52.657543,2026-02-17 16:13:52.657543,,,,,f,clinica,,,,,,,,,,,,
118,clinex 2026 ltda,91280455000163,,rwrwe@sdfdsf.cop,(97) 97987-9745,"Rua Ant├┤nio Bianchetti, 90",Curitiba,PR,81630-180,Tania kC Fila,99328531004,,sfdsf@dd.pom,(87) 98446-4646,https://s3.us-east-005.backblazeb2.com/laudos-qwork/cad-qwork/91280455000163/cartao_cnpj-1771886664587-c7ohkw.pdf,https://s3.us-east-005.backblazeb2.com/laudos-qwork/cad-qwork/91280455000163/contrato_social-1771886664933-a7lavo.pdf,https://s3.us-east-005.backblazeb2.com/laudos-qwork/cad-qwork/91280455000163/doc_identificacao-1771886666687-z9vezj.pdf,pendente,,,t,2026-02-23 22:44:27.196558,2026-02-23 22:44:27.196558,,,,,f,clinica,,,,,,,,,,,,
120,SDFSDFSDFSDFSD,29060003000100,,sdfSFGDFGH@GMAIL.COM,(41) 00002-2666,"Bar├úo do Serro Azul, 198 - Centro",3946,PR,80020-180,TESTESTESTES TESTESTESTSETS,79432901009,,FDKHKLAFJG@GMAIL.COM,(41) 44444-44444,https://s3.us-east-005.backblazeb2.com/cad-qwork/29060003000100/cartao_cnpj-1772042275667-ayd1dp.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/29060003000100/contrato_social-1772042276095-l730bd.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/29060003000100/doc_identificacao-1772042276237-4805qr.pdf,pendente,,,t,2026-02-25 17:57:56.945775,2026-02-25 17:57:56.945775,,,,,f,clinica,,,,,,,,,,,,
122,clinica medo cpu pos clean,83975727000111,,dsfsdf@fa.com,(78) 46546-4666,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,gestor clin pioso cleln,25070037072,,sdfsdf@dsfdsf.co,(56) 78798-7999,/uploads/cadastros/83975727000111/cartao_cnpj_1772198019393.pdf,/uploads/cadastros/83975727000111/contrato_social_1772198019396.pdf,/uploads/cadastros/83975727000111/doc_identificacao_1772198019398.pdf,pendente,,,t,2026-02-27 13:13:20.969504,2026-02-27 13:13:20.969504,,,,,f,clinica,,,,,,,,,,,,
123,clinai pos clena,43315703000111,,fafa@dsffsd.cd,(87) 97464-6546,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,eaopi adsfpipoi po ,38908580077,,dsfsfd@faas.coj,(49) 87984-6549,/uploads/cadastros/43315703000111/cartao_cnpj_1772198225135.pdf,/uploads/cadastros/43315703000111/contrato_social_1772198225139.pdf,/uploads/cadastros/43315703000111/doc_identificacao_1772198225142.pdf,pendente,,,t,2026-02-27 13:16:46.724486,2026-02-27 13:16:46.724486,,,,,f,clinica,,,,,,,,,,,,
119,oipo poi po,99179883000106,,dfssdf@ffdsds.co,(45) 46546-4666,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,fasfasasf fasfaf,87251739011,,fdfdsf@sdffds.com,(56) 46546-5465,https://s3.us-east-005.backblazeb2.com/cad-qwork/99179883000106/cartao_cnpj-1772035205966-17v53g.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/99179883000106/contrato_social-1772035206450-nvj0ng.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/99179883000106/doc_identificacao-1772035206495-95kjbf.pdf,pendente,,,t,2026-02-25 16:00:07.203612,2026-03-03 12:29:26.082974,,,,,f,clinica,,,,,,,,,,,,
