id,nome,cnpj,inscricao_estadual,email,telefone,endereco,cidade,estado,cep,responsavel_nome,responsavel_cpf,responsavel_cargo,responsavel_email,responsavel_celular,cartao_cnpj_path,contrato_social_path,doc_identificacao_path,status,motivo_rejeicao,observacoes_reanalise,ativa,criado_em,atualizado_em,aprovado_em,aprovado_por_cpf,numero_funcionarios_estimado,data_primeiro_pagamento,tipo,cartao_cnpj_arquivo_remoto_provider,cartao_cnpj_arquivo_remoto_bucket,cartao_cnpj_arquivo_remoto_key,cartao_cnpj_arquivo_remoto_url,contrato_social_arquivo_remoto_provider,contrato_social_arquivo_remoto_bucket,contrato_social_arquivo_remoto_key,contrato_social_arquivo_remoto_url,doc_identificacao_arquivo_remoto_provider,doc_identificacao_arquivo_remoto_bucket,doc_identificacao_arquivo_remoto_key,doc_identificacao_arquivo_remoto_url
100,RELEGERE - ASSESSORIA E CONSULTORIA LTDA,02494916000170,,rlrlg@rlrlr.com,(46) 54897-8978,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Gestor RLGR,29930511059,Recurso Humano,rhrlge@kdke.com,(46) 79879-8799,,,,pendente,,,t,2026-02-09 21:03:01.083207,2026-02-09 21:41:02.172557,,,,,entidade,,,,,,,,,,,,
105,DDSDSAGADSGGSD,96104413000195,,dsfsfdsfd@fddsf.com,(46) 54654-6546,rua jlk 3234,l├ºl├ºj├ºlj,OI,45654-656,zdvdzd dzvvzvz,24626149073,,dsfsdfsfd@fdfd.com,(65) 45646-5465,,,,pendente,,,t,2026-02-10 12:30:34.697287,2026-02-10 12:30:34.697287,,,,,entidade,,,,,,,,,,,,
106,Empresa Privada Final,63424269000115,,empprivfinal@sfdsfsd.com,(45) 67987-9879,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,Gestor Empresa Priv Fin,35051737030,,gestorempprivfin@ffdffsd.ci,(45) 46546-5466,,,,pendente,,,t,2026-02-11 01:02:47.812895,2026-02-11 01:02:47.812895,,,,,entidade,,,,,,,,,,,,
110,Empresa Final,24067473000174,,emprefinal@dodo.com,(46) 46545-6466,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Ronaldo Entidade Final,07432266077,,ronaldofilardo@yahoo.com.br,(46) 57984-6546,,,,pendente,,,t,2026-02-13 02:25:16.382278,2026-02-13 02:25:16.382278,,,,,entidade,,,,,,,,,,,,
114,Entidade 00,56853041000185,,ffas@fsaafs.com,(79) 84654-5566,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Ronlado Fo├º├º,48538520008,,ffda@dasffd.co,(54) 65313-2332,,,,pendente,,,t,2026-02-17 12:57:34.69226,2026-02-17 12:57:34.69226,,,,,entidade,,,,,,,,,,,,
116,empersa ioipoipo,91408159000103,,fdfds@dffd.co,(45) 64654-6546,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Entidade Final,92019863006,,fsfd@oojo.cd,(45) 46465-4646,/uploads/entidades/91408159000103/cartao_cnpj_1771819533011.pdf,/uploads/entidades/91408159000103/contrato_social_1771819533013.png,/uploads/entidades/91408159000103/doc_identificacao_1771819533015.pdf,pendente,,,t,2026-02-23 04:05:23.806693,2026-02-23 04:05:23.806693,,,,,entidade,,,,,,,,,,,,
117,TKCF Siderurguaca,73357308000162,,erwer@dsfsf.com,(46) 57897-9879,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Rona Filar,16911251052,,rewwer@vvxcvc.dsf,(46) 54654-6546,https://s3.us-east-005.backblazeb2.com/laudos-qwork/laudos/cad-qwork/73357308000162/cartao_cnpj-1771879678879-emrucx.pdf,https://s3.us-east-005.backblazeb2.com/laudos-qwork/laudos/cad-qwork/73357308000162/contrato_social-1771879679233-tohj9t.pdf,https://s3.us-east-005.backblazeb2.com/laudos-qwork/laudos/cad-qwork/73357308000162/doc_identificacao-1771879679271-sluog9.pdf,pendente,,,t,2026-02-23 20:47:59.738044,2026-02-23 20:47:59.738044,,,,,entidade,,,,,,,,,,,,
121,Tsete apos clean,38854941000165,,fdffa@dfdfs.com,(46) 87764-6665,"Rua Ant├┤nio Bianchetti, 90",S├úo Jos├® dos Pinhais,PR,83065-370,Gestor pos clean,05248635047,,asaf@vcvcx.co,(79) 87987-9879,/uploads/cadastros/38854941000165/cartao_cnpj_1772192713850.pdf,/uploads/cadastros/38854941000165/contrato_social_1772192713858.pdf,/uploads/cadastros/38854941000165/doc_identificacao_1772192713866.pdf,pendente,,,t,2026-02-27 11:44:56.621321,2026-02-27 11:44:56.621321,,,,,entidade,,,,,,,,,,,,
124,Teste lead PJ,34304264000150,,sssdsd@sdfsdf.com,(45) 46546-4656,"R. Waldemar Kost, 1130",Curitiba,PR,81630-180,Lead Gestor PJ,49602738014,,faaf@oijoic.om,(98) 78979-8798,/uploads/cadastros/34304264000150/cartao_cnpj_1772506759221.pdf,/uploads/cadastros/34304264000150/contrato_social_1772506759226.pdf,/uploads/cadastros/34304264000150/doc_identificacao_1772506759229.pdf,pendente,,,t,2026-03-03 02:58:53.093874,2026-03-03 02:58:53.093874,,,,,entidade,,,,,,,,,,,,
125,fdfgadfgaadffg,99154114000153,,dffgdfgdfhg@gail.com,(41) 99540-1309,"Bar├úo do Serro Azul, 198 - Centro",3946,PR,80020-180,TESTE teste,09777228996,,GHADJGHF@GMAIL.COM,(50) 48084-68008,https://s3.us-east-005.backblazeb2.com/cad-qwork/99154114000153/cartao_cnpj-1772543466365-ydpmvi.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/99154114000153/contrato_social-1772543466624-b3dwlo.pdf,https://s3.us-east-005.backblazeb2.com/cad-qwork/99154114000153/doc_identificacao-1772543466839-kycdhd.pdf,pendente,,,t,2026-03-03 13:11:08.559559,2026-03-03 13:11:08.559559,,,,,entidade,,,,,,,,,,,,
