id,clinica_id,empresa_id,descricao,tipo,status,liberado_por,liberado_em,criado_em,atualizado_em,hash_pdf,numero_ordem,emitido_em,enviado_em,setor_id,laudo_enviado_em,finalizado_em,entidade_id,status_pagamento,solicitacao_emissao_em,valor_por_funcionario,link_pagamento_token,link_pagamento_expira_em,link_pagamento_enviado_em,pagamento_metodo,pagamento_parcelas,pago_em,valor_servico
1027,115,13,Lote 1 liberado para Empresa Clinica End. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-17 16:17:22.406893,2026-02-17 16:17:22.406893,2026-02-17 16:28:26.445818,,1,,,,,,,pago,2026-02-17 16:27:57.800068+00,33.00,ca6ee321-2dbd-49ea-a578-b732cad6508b,,2026-02-17 16:28:26.445818+00,credit_card,1,2026-02-17 16:29:22.79328+00,
1002,,,Lote 1 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,29930511059,2026-02-10 11:29:28.439742,2026-02-10 11:29:28.439742,2026-02-10 11:29:28.439742,,1,,,,,,100,,,,,,,,,,
1003,104,5,Lote 1 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-10 11:30:56.337043,2026-02-10 11:30:56.337043,2026-02-10 11:30:56.337043,,1,,,,,,,,,,,,,,,,
1004,,,Lote 2 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,29930511059,2026-02-10 12:10:36.722222,2026-02-10 12:10:36.722222,2026-02-10 12:10:36.722222,,2,,,,,,100,,,,,,,,,,
1006,,,Lote 3 liberado para DDSDSAGADSGGSD. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,24626149073,2026-02-10 12:33:46.635319,2026-02-10 12:33:46.635319,2026-02-10 12:33:46.635319,,3,,,,,,105,,,,,,,,,,
1029,,,Lote 12 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,29930511059,2026-02-17 19:34:09.774335,2026-02-17 19:34:09.774335,2026-02-17 23:15:14.462273,,12,,,,,,100,pago,2026-02-17 21:35:14.838208+00,150.00,8bc01387-6f1c-4fe7-b3b4-356c76f35945,,2026-02-17 23:15:14.462273+00,credit_card,1,2026-02-17 23:55:18.867426+00,
1025,,,Lote 10 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,29930511059,2026-02-17 00:20:09.341759,2026-02-17 00:20:09.341759,2026-02-18 00:01:16.315871,,10,,,,,,100,pago,2026-02-17 23:59:37.428059+00,10.00,a3b74d47-3419-4231-af49-1a5918e97639,,2026-02-18 00:01:16.315871+00,credit_card,1,2026-02-18 00:03:00.81661+00,
1005,104,5,Lote 2 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-10 12:21:47.979581,2026-02-10 12:21:47.979581,2026-02-10 19:46:39.971473,,2,,,,,,,pago,2026-02-10 17:22:32.905537+00,25.00,c37df516-0283-4077-8207-43a5291f6777,,2026-02-10 19:46:22.317626+00,pix,1,2026-02-10 19:46:39.971473+00,
1007,,,Lote 4 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,29930511059,2026-02-10 14:13:18.784349,2026-02-10 14:13:18.784349,2026-02-10 19:51:55.641195,,4,,,,,,100,pago,2026-02-10 19:50:59.93632+00,100.00,3351da28-10bb-4d66-8b85-ba934f57f24a,,2026-02-10 19:51:40.174121+00,boleto,4,2026-02-10 19:51:55.641195+00,
1030,,,Lote 13 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,29930511059,2026-02-18 02:19:37.269912,2026-02-18 02:19:37.269912,2026-02-18 02:22:06.352576,,13,,,,,,100,pago,2026-02-18 02:21:21.221813+00,12.00,2310f4d6-4014-44ae-a715-0ab5ef0dc10d,,2026-02-18 02:22:06.352576+00,boleto,1,2026-02-18 02:36:02.383377+00,
1008,,,Lote 5 liberado para Empresa Privada Final. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,35051737030,2026-02-11 01:05:34.180476,2026-02-11 01:05:34.180476,2026-02-11 01:16:19.911755,,5,,,,,,106,pago,2026-02-11 01:15:05.870431+00,23.33,e22cbf01-6a25-49da-bd67-437ccdad074c,,2026-02-11 01:15:59.845042+00,boleto,1,2026-02-11 01:16:19.911755+00,
1009,107,6,Lote 1 liberado para Empresa clin fina 001. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-11 01:53:04.39101,2026-02-11 01:53:04.39101,2026-02-11 02:03:15.828649,,1,,,,,,,pago,2026-02-11 02:02:12.860741+00,55.00,49ac333d-0884-4530-8bd6-0749566bd0c6,,2026-02-11 02:02:48.098336+00,transferencia,1,2026-02-11 02:03:15.828649+00,
1032,104,14,Lote 3 liberado para Empres clin 02. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-18 03:04:23.317314,2026-02-18 03:04:23.317314,2026-02-18 03:06:40.240047,,3,,,,,,,pago,2026-02-18 03:05:53.947524+00,123.00,dbc29d61-5b35-405e-b758-5c0e6d0a7811,,2026-02-18 03:06:40.240047+00,boleto,1,2026-02-18 03:20:43.245433+00,
1010,104,5,Lote 3 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-12 12:24:06.406657,2026-02-12 12:24:06.406657,2026-02-12 12:34:04.859771,,3,,,,,,,pago,2026-02-12 12:32:18.127816+00,25.00,fe86cdf5-4356-4fee-b272-2df43286428f,,2026-02-12 12:33:32.859493+00,pix,1,2026-02-12 12:34:04.859771+00,
1011,109,8,Lote 1 liberado para Empasa Amada Aeso. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-12 19:55:58.791717,2026-02-12 19:55:58.791717,2026-02-12 19:55:58.791717,,1,,,,,,,,,,,,,,,,
